Disposition,Orbital Period,Transit Duration,Transit Depth,Planet Radius,Star Eff. Temp,Stellar log,Star Radius
Planet Candidate,3.6950015,4.5150000,7655.0000000,14.1288000,7106.7000000,4.2000000,1.6300000
False Positive,15.7335693,3.2880000,2540.0000000,24.3218000,6800.0000000,3.9100000,2.2100000
Planet Candidate,45.9403293,3.7680000,14807.0000000,28.3312000,6479.3000000,,1.2800000
False Positive,2.2219839,1.9960000,4394.0000000,15.4416000,7166.8000000,,1.8700000
Confirmed Planet,2.3106428,1.2940000,6911.0000000,8.7674100,5339.9000000,4.4100000,0.9900000
False Positive,4.0513500,2.4000000,1132.2300000,14.2359000,4974.4000000,,3.8500000
Planet Candidate,5.5376617,2.5170000,5390.0000000,15.6557000,6689.0000000,3.9600000,2.0600000
Planet Candidate,4.5960377,4.7440000,5000.0000000,16.2166000,7649.0000000,4.0400000,2.1200000
Confirmed Planet,3.6714717,2.1490000,4340.0000000,10.6780000,5618.0000000,4.0600000,1.5400000
Confirmed Planet,11.5350760,8.5559580,2389.9061600,12.2158080,5479.3000000,3.7700000,2.4877100
False Positive,0.8352406,1.0430000,2065.0000000,6.4875000,6105.0000000,4.3100000,1.2400000
Confirmed Planet,2.4919771,1.4338141,2093.9594201,2.2187585,3948.0000000,4.6896200,0.4823880
False Positive,,2.7267750,878.1341080,1.7107060,3773.0000000,4.4380000,0.5779830
Confirmed Planet,25.5195307,6.6877451,558.3758637,2.9641461,5742.2200000,4.2900000,1.1732100
Planet Candidate,1.3812115,2.7372191,117.7553083,2.2402361,6711.0000000,4.0635800,1.7756799
Planet Candidate,2.3922703,9.0053425,63.5751410,3.5905923,6090.0000000,3.2986400,4.1956000
False Positive,0.8315420,1.9855380,248.9695850,1.8816840,5824.0000000,4.4380000,1.1512000
Planet Candidate,2.6282553,2.0930597,75.2858004,0.9817044,6282.0000000,4.3780900,1.1074300
Planet Candidate,3.4239436,1.9601023,443.6391381,1.7581475,5626.0000000,4.5619500,0.8230190
Planet Candidate,10.9830420,3.7478987,725.1724567,2.5070075,5626.0000000,4.5619500,0.8230190
Planet Candidate,17.7264490,3.4404719,747.7725499,2.2616640,5626.0000000,4.5619500,0.8230190
Planet Candidate,40.7199388,4.2436925,355.6193910,3.2352713,5914.0000000,3.9800000,1.5595300
Planet Candidate,14.7741056,5.5040000,15041.0000000,15.3936000,6053.0000000,4.3135000,1.2300000
False Positive,79.3739596,5.3920000,1227.0000000,2.1745400,5168.3300000,4.6058400,0.7700000
Planet Candidate,18.1663644,2.4640000,624.0000000,2.8044700,5572.9000000,3.8300000,1.1400000
Planet Candidate,105.5850893,11.6068811,462.9116325,2.5033335,5909.5700000,4.2615400,1.1142000
False Positive,27.2149622,3.7190483,4731.4046225,8.3475973,6270.0000000,4.5453700,0.9896670
Planet Candidate,19.1807264,3.9621084,544.5602695,2.4311768,5262.4000000,3.9800000,0.9379730
Planet Candidate,1.2124493,0.9984653,501.2911711,0.8794190,3751.0000000,4.7571800,0.5180000
Planet Candidate,4.5541831,7.8146963,187.8286128,0.8887417,4280.0000000,4.6120900,0.6358120
Planet Candidate,41.4856125,6.6899368,959.7522291,12.5121956,6354.0000000,4.2447200,3.4868701
Planet Candidate,13.7738265,2.9992376,338.2166234,1.8971927,5455.9600000,4.4673700,1.0182500
